37	28	23	30	16	23
31	30	39	26	37	21
33	34	28	38	32	18
29	34	37	33	29	33
17	26	30	35	31	16
31	36	32	35	35	39
28	26	34	31	44	22
21	28	33	25	21	28
31	29	29	26	28	33
14	30	22	18	8	21
26	40	37	39	35	27
23	22	32	22	33	28
22	39	38	26	29	37
40	34	28	33	35	26
17	35	37	40	30	18
27	23	24	28	35	18
18	37	39	46	32	24
19	55	43	32	15	17
25	31	28	20	31	37
31	26	36	38	44	33
27	34	36	35	32	20
12	28	34	33	28	23
35	34	32	22	14	33
38	36	33	25	33	35
28	20	33	33	25	27
23	25	34	31	26	31
16	41	35	33	34	35
33	26	25	22	32	41
24	26	35	32	31	21
39	20	28	33	29	20
31	30	32	29	38	16
38	28	27	28	31	26
33	28	30	32	36	39
29	34	35	41	43	27
23	38	34	33	30	19
24	33	33	36	32	28
29	44	43	37	31	38
24	48	40	33	41	25
31	35	36	23	27	24
29	33	35	29	30	32
29	21	28	24	18	17
33	24	20	24	27	36
30	24	26	28	29	28
20	33	31	37	31	25
32	30	30	32	23	31
27	25	32	33	29	38
36	24	24	29	36	37
45	29	23	17	34	32
32	35	19	27	18	40
31	40	35	39	23	36
28	33	31	36	19	34
24	39	30	27	26	22
26	30	27	33	19	20
39	31	21	26	24	43
38	21	29	24	37	26
31	9	23	19	27	25
33	28	28	34	26	46
29	30	27	35	28	26
30	38	33	39	32	40
36	28	34	24	37	28
36	39	34	28	25	34
26	21	29	31	26	34
39	42	38	37	29	29
39	27	30	31	39	26
27	29	25	35	37	23
22	26	34	30	14	24
35	23	26	27	30	26
26	37	39	24	28	40
19	27	19	28	31	9
9	53	45	37	15	32
29	23	27	21	18	35
27	37	30	35	37	28
30	31	32	28	21	37
18	42	37	29	33	31
31	40	36	22	27	36
27	26	23	18	20	16
31	18	27	29	35	27
30	23	22	23	17	31
32	24	28	18	39	38
22	38	33	33	25	32
26	24	29	18	26	32
17	35	32	23	15	21
15	33	29	28	23	27
31	23	32	37	33	21
35	27	25	37	16	30
30	23	21	28	23	47
25	32	30	25	23	26
33	31	26	23	29	30
22	45	35	34	27	10
26	30	39	26	28	30
32	28	21	34	18	44
26	35	30	25	25	32
39	34	23	35	30	36
36	38	38	37	40	13
31	30	40	36	33	33
42	28	21	20	15	22
34	35	33	26	37	40
35	19	20	24	33	29
33	22	26	33	36	35
36	25	26	24	32	33
35	29	30	30	40	35
42	39	34	27	19	49
36	29	32	19	30	30
35	37	30	30	28	27
21	40	42	25	34	26
38	31	30	32	41	34
18	34	33	32	21	39
33	35	33	25	38	18
35	22	25	31	31	35
43	37	33	28	30	41
25	27	34	33	15	23
40	14	9	32	26	41
34	40	37	35	23	33
33	20	20	25	31	33
40	42	38	40	32	32
39	37	36	30	28	28
27	23	24	19	29	35
33	32	27	24	21	31
30	40	34	29	31	28
26	20	16	25	26	28
29	22	24	33	25	46
28	34	34	24	26	36
35	27	32	33	33	38
41	16	19	23	43	32
25	24	31	31	22	35
37	36	29	29	29	29
34	32	28	28	42	43
42	18	20	13	23	42
32	21	20	30	37	25
21	34	32	43	20	44
29	35	29	28	34	30
23	27	28	29	26	36
25	38	25	23	17	21
24	31	26	35	27	40
21	30	37	30	20	29
42	27	28	33	32	53
36	27	22	26	25	44
35	27	28	25	29	32
25	34	30	26	37	24
31	22	18	16	25	35
38	25	27	36	32	23
27	32	26	21	28	38
31	31	36	26	22	22
21	30	23	31	27	22
29	31	30	29	17	27
22	35	34	21	26	20
39	29	27	36	32	30
33	23	19	26	21	35
39	28	30	40	28	31
30	29	36	36	32	33
22	31	25	26	45	28
35	31	33	30	43	15
51	22	22	27	31	40
36	37	31	37	34	34
38	40	34	28	31	29
38	25	29	38	37	24
20	26	25	35	33	10
36	25	26	26	38	32
37	28	23	28	25	40
29	20	17	29	36	20
28	27	28	27	37	31
23	23	25	30	28	11
19	29	30	25	41	28
31	43	39	42	24	26
44	20	23	27	30	42
21	29	30	19	12	10
31	35	37	40	38	46
35	37	32	38	25	30
14	39	41	47	22	18
23	19	25	23	7	30
33	17	26	25	37	39
15	34	41	34	22	14
42	20	28	30	33	28
26	35	36	34	29	23
27	35	36	31	21	30
29	30	29	28	23	35
44	29	33	29	38	58
30	36	27	27	38	33
19	38	25	33	26	12
28	28	24	24	30	26
37	37	31	36	36	34
45	34	25	20	27	40
28	28	32	26	24	20
38	31	30	29	29	33
23	32	34	36	16	23
24	23	28	22	33	16
29	26	28	27	19	19
34	42	38	32	28	27
40	25	27	30	46	30
41	24	27	28	36	24
48	29	23	29	31	38
33	38	26	25	20	44
24	40	33	39	30	20
28	37	28	35	35	32
25	31	32	27	14	22
27	30	29	32	25	31
22	27	30	23	23	23
29	34	28	21	25	26
41	32	35	32	26	39
31	24	29	25	39	39
